⇣HP model     /     dB→,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1K,1.25K,1.6K,2K,2.5K,3.15K,4K,5K,6.3K,8K,10K,12.5K,16K,20K,
Room gains:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruel & Kjaer OptHF RG,2.5,2.7,2.9,3.0,3.0,3.0,3.0,2.9,2.8,2.7,2.5,2.2,2.0,1.8,1.6,1.5,1.1,0.9,0.6,0.3,0.0,-0.3,-0.5,-1.1,-1.2,-1.6,-2.0,-2.2,-2.6,-3.1,-3.6,
-1dB/oct room gain,5.0,4.7,4.5,4.1,3.8,3.5,3.2,2.8,2.6,2.1,1.9,1.5,1.1,0.8,0.5,0.2,-0.8,-0.5,-0.3,-1.2,-1.5,-1.7,-2.1,-2.4,-2.7,-3.0,-3.4,-3.8,-4.2,-4.7,-5.0,
-0.9dB/oct room gain,4.5,4.3,4.0,3.6,3.3,3.0,2.7,2.5,2.2,1.7,1.5,1.3,1.0,0.7,0.3,0.0,-0.3,-0.7,-1.0,-1.3,-1.6,-1.8,-2.0,-2.5,-2.8,-3.0,-3.3,-3.7,-4.0,-4.3,-4.5,
Toole realistic room gn,0.0,0.0,0.0,0.0,0.0,2.0,1.8,1.7,1.5,1.3,1.1,1.0,0.7,0.5,0.3,0.2,0.1,-0.2,-0.3,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-1.0,-1.3,-1.7,-2.4,-3.6,-5.0,
Eardrum meas.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse field (H&M) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.0,1.2,1.5,2.0,3.0,3.5,4.0,5.0,8.0,11.0,15.5,15.5,13.0,10.5,10.0,9.5,7.0,4.0,0.0,-3.6,
Diffuse field (B&K) ,0.0,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.2,0.3,0.0,0.4,1.0,1.3,2.5,2.5,4.0,5.0,4.7,5.7,10.0,15.0,17.3,15.0,11.6,10.7,2.3,4.2,9.2,0.0,-4.5,
Unknown recent DF Or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,1.4,2.2,2.9,3.6,4.1,5.4,8.0,12.0,14.9,15.0,13.5,11.2,9.5,9.2,7.4,6.0,5.8,5.9,
Harman linear speaker,-0.3,-0.7,-0.5,-0.3,-0.5,-0.3,-0.7,-0.3,-0.3,0.2,0.0,0.3,0.8,1.2,1.8,2.3,3.1,3.6,4.7,6.9,9.5,13.7,14.6,13.0,11.2,9.9,7.3,4.6,0.0,-4.7,-2.7,
IF ear resonance at 45º,0.0,0.1,0.2,0.2,0.3,0.3,0.7,0.8,1.0,1.4,1.7,2.2,2.9,3.7,4.9,5.8,6.3,6.2,6.7,9.5,15.0,20.5,19.4,18.0,17.4,13.5,12.3,3.0,9.0,0.0,-4.5,
