⇣HP model     /     dB→,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1K,1.25K,1.6K,2K,2.5K,3.15K,4K,5K,6.3K,8K,10K,12.5K,16K,20K,
(FR target curves),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse field (H&M) ,0,0,0,0,0,0,0,0,0,0.5,0.8,1,1.2,1.5,2,3,3.5,4,5,8,11,15.5,15.5,13,10.5,10,9.5,7,4,0,-3.6,
Diffuse field (B&K) ,0,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.2,0.3,0,0.4,1,1.3,2.5,2.5,4,5,4.7,5.7,10,15,17.3,15,11.6,10.7,2.3,4.2,9.2,0,-4.5,
-1dB/oct room gain,5,4.7,4.5,4.1,3.8,3.5,3.2,2.8,2.6,2.1,1.9,1.5,1.1,0.8,0.5,0.2,-0.8,-0.5,-0.3,-1.2,-1.5,-1.7,-2.1,-2.4,-2.7,-3,-3.4,-3.8,-4.2,-4.7,-5,
B&K room gain,2.5,2.7,2.9,3,3,3,3,2.9,2.8,2.7,2.5,2.2,2,1.8,1.6,1.5,1.1,0.9,0.6,0.3,0,-0.3,-0.5,-1.1,-1.2,-1.6,-2,-2.2,-2.6,-3.1,-3.6,
DF+BK (H&M/B&K),-0.3,-0.1,0.1,0.2,0.2,0.2,0.2,0.1,0,0.4,0.5,0.4,0.4,0.5,0.8,1.7,1.8,2.1,2.8,5.5,8.2,12.4,12.2,9.1,6.5,5.6,4.7,2,-1.4,-5.9,-10,
DF+RG (B&K/B&K),0,0.5,0.9,0.7,0.8,0.7,1,0.7,0.5,0.5,0,0.1,0.5,0.6,1.6,1.5,2.6,3.4,2.8,3.5,7.5,12.2,14.3,11.4,7.9,6.6,-2.2,-0.5,4.1,-5.6,-10.6,
DF+ 1dB/oct (H&M),2.7,2.4,2.2,1.8,1.5,1.2,0.9,0.5,0.3,0.3,0.4,0.2,0,0,0.2,0.9,0.4,1.2,2.4,4.5,7.2,11.5,11.1,8.3,5.5,4.7,3.8,0.9,-2.5,-7,-10.9,
Etymotic target Cr,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.1,-1,-0.8,-0.4,-0.2,0.5,1.3,2.1,2.7,3.5,7.9,11.5,11,8.1,6.6,3.4,2.5,0,-2.5,-4.5,-7,
Harman 2013,3.8,3.8,4,4,3.8,3.6,2.7,2.5,1.5,0.8,0.3,0,1,1.4,1.8,2.1,2.6,2.7,3.4,6,7.7,11.3,12,10.4,8,6.6,3.5,0.2,-4,-8,-7,
Harman ’13 -2 bass,1.8,1.8,2,2,1.8,1.6,1.7,1.5,0.5,0.3,0,0,1,1.4,1.8,2.1,2.6,2.7,3.4,6,7.7,11.3,12,10.4,8,6.6,3.5,0.2,-4,-8,-7,
Harman 2018,5.5,6.2,6.1,5.8,5.6,5,4.4,3.4,2,1,0.1,0,0.5,1,1.3,1.7,1.9,2,3,5.2,7.4,9.6,10.6,10.3,9.5,7,4.6,1.6,-3,-6,-18,
Harman ’18 (Or bass),3.8,3.8,3.7,3.7,3.5,3.2,2.6,1.7,0.9,0.3,0,0,0.4,0.8,1,1.4,1.7,1.8,2.5,4.4,7,9.3,10.4,10.2,8.2,6.6,4.2,1.1,-2.5,-6.7,-18.6,
Harman ’18 w/o bass,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1,1.4,1.7,1.8,2.5,4.4,7,9.3,10.4,10.2,8.2,6.6,4.2,1.1,-2.5,-6.7,-18.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Headphones),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K361 Or,1.6,2.2,2.5,2.8,1.8,-0.3,-0.4,0,0.2,0.5,-1.9,-3.3,-3.9,-3.6,-2.8,-2.1,-0.8,0,1.8,3.7,5.4,6.1,6.6,-0.4,0.2,1.5,-1.1,-3.7,-7.4,-11.1,-13.8,
AKG K371 Or,5.7,5.9,5.3,4.9,3.2,0.9,1,0.9,0.6,-0.3,-0.8,-1.8,-1.8,-1.8,-1.5,-1.1,-0.6,0,0.7,2.3,4.2,7.3,7.3,2,4.2,4.3,3,-3.3,-6.2,-15,-16.5,
AKG K550 IF,2.4,3,3.2,3,2.3,1.4,-0.4,0.9,1.7,-0.8,-0.3,-0.6,-0.8,-1.2,-1,-2,-1.8,0,2.1,2.7,2.9,5.6,7.6,4,1.8,3.7,2.7,2.1,-4.9,-12.5,-5.3,
AKG K601 Or,-9,-7.5,-6,-5,-5,-5,-2.5,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,6,10,13.5,11.5,10.5,5,6,7,-9,-7,-3,-10,
AKG K701 Rt,-6,-4,-4,-3,-2.5,-2,-2,-1.5,-1,-1,-1,-1,-1,-1,-1,-2,-1.5,0,1.5,4,9,13,11.5,7.5,6.5,9.5,10,-1,1,-10,-7,
AKG K712 Or,1,2,2.8,3.4,3.9,4.2,4.3,4.3,3.9,3.9,4.4,4.6,4.6,4.5,4.1,3.1,1.8,0,-2.1,2.1,7.3,8.2,6.6,9.1,10.3,8.7,6.8,-5.2,1.8,-3.4,-11.1,
AKG Q701 Rt,-5,-4,-3,-2,-1.5,-1,-1,-0.5,0,0,0,0,0,0,-0.5,-1,-0.5,0,1,4,9,12,9.5,7,6.5,10,9,-3,3,-11,-7,
Audeze LCD-1 Or,-5.30,-4.60,-4.00,-3.70,-3.60,-3.10,-2.10,-2.20,-2.30,-2.30,-2.10,-1.90,-1.60,-1.2,-1.2,-1.4,-1.2,0,-0.9,-2.2,-0.6,5.1,8.7,5.9,0.1,-3.2,-1.9,-5.7,-5.6,-3.5,-12.9,
Audeze LCD-2 Class Rt,-5,-4.8,-3.8,-2.9,-2.8,-2.9,-3,-3,-2.9,-2.8,-2.8,-2.7,-2.4,-2.2,-2.5,-0.8,1.2,0,0.8,0.2,2.2,4.5,1.7,-5,-2.2,1.5,0.1,-13,-4.4,-7.9,-10.1,
